Person,M00,M01,M02,M10,M11,M12,M20,M21,M22
11,363375,89680950,22151249730,39138930,9658872660,1693990918804,4359398910,1075738953150,-20685175314
11,389640,95681610,23515654770,41886300,10284905310,1771501351444,4679306100,1148792110500,-49068067662
11,391935,95851695,23462109105,42652065,10427925885,1860167864029,4815129045,1176771319185,2769549697
11,404175,98432040,23993521710,44395500,10808292555,1929236519641,5062264080,1231851181995,-6385697487
11,395505,95809365,23231131635,43377540,10506081090,2005715290164,4925231160,1192578108480,-10515845014
11,391170,94371675,22789032015,42586530,10273964535,2094270695445,4784778180,1154272918065,4298160543
12,198645,30940935,4823342085,18329400,2855721030,445287964050,1743395730,271664694210,9441566078
12,206295,32099145,4998840225,19277490,2999765175,467190194295,1857953460,289098376875,5923494679
12,207570,32265660,5019846360,19520250,3034633365,472172869815,1893128160,294295840425,8505105831
12,209355,32540805,5062469865,19793100,3076867485,478733172705,1928127420,299717474475,4692845179
12,209100,32453085,5041275285,19810185,3075260730,477813791370,1933122615,300108227040,9221403440
12,211650,32819010,5093426100,20064930,3112210740,483143302590,1961928180,304347233820,7840849870
12,216750,33590640,5210428260,20455845,3170823255,491948362065,1989644385,308420709135,9984982041
12,211650,32677995,5049811665,20067480,3099911835,479275630125,1961454390,303097502535,14435949129
12,214710,33087015,5103279555,20340840,3136332465,484014233415,1987831590,306629626365,4577165539
12,209610,32228940,4959918300,19709205,3032291190,466943679420,1911685275,294246177390,1250203956
12,218790,46636440,9947146590,19541670,4163048910,887464408920,1803520650,383911038420,2792447710
12,218025,46206000,9798390810,19614855,4155472860,880910847210,1823347665,386057960430,9244351628
12,218790,46204980,9763569030,19675035,4154448270,877766451390,1828269165,385911902040,-4144172644
12,216750,45617715,9606366375,19352460,4072590720,857561143890,1785327930,375601351380,-6333558726
12,223380,46840440,9827529150,19937685,4180359585,877011374715,1840917675,385883999685,452678831
12,227205,47486100,9930295170,20242410,4230727695,884743472985,1866604590,390073587975,894186705
12,236385,49267785,10274126205,21184890,4415937510,920990998530,1968083880,410250437220,2482681244
12,234090,48741210,10154065320,20849310,4341904380,904677392910,1929955260,401919210840,7886085514
12,234090,48639210,10112045400,20719770,4306136295,895433589105,1905051960,395950265955,4691715885
12,225165,46691775,9688056135,19929525,4134030930,858025538160,1832191575,380108076540,2231395850
12,245055,64289580,16872299910,27254655,7147874655,642655488223,3110012895,815309975355,-2149548569
12,238170,62346735,16327409535,26396835,6907483095,683031632093,2999613195,784555142415,6970726553
12,245310,63998625,16704315345,27297240,7117573260,727207864222,3115328370,811734263100,-12080622254
12,245565,63892800,16632175590,27278880,7093708320,754727527726,3108753450,807834414480,4370405022
